title,description,handle,match_any,type,operator,value
"Last Chance","Derniere Chance","derniere-chance","false","VARIANT_PRICE","GREATER_THAN","21"
"Toys & Early Learning","Jouets & Éveil","jouets-eveil","false","vendor","equals","Jouets & Éveil"
"Flash Sale","Offre Flash","offre-flash","true","VARIANT_PRICE","GREATER_THAN","20"
"Flash Sale","Offre Flash","offre-flash","true","VARIANT_PRICE","LESS_THAN","45"
"Clothing & Accessories","Vêtements & Accessoires","vetements-accessoires","false","vendor","equals","Vêtements & Accessoires"
"Childcare & Baby Care","Puériculture & Soins Bébé","puericulture-soins-bebe","false","vendor","equals","Puériculture & soins bébé"
"Everything under 20€","Tout à moins de 20€","tout-a-moins-de-20","false","VARIANT_PRICE","LESS_THAN","21"
"Home & Comfort","Maison & Confort","maison-confort","false","vendor","equals","Maison & confort"
"Baby Furniture & Accessories","Mobilier & Accessoires Bébé","mobilier-accessoires-bebe","false","vendor","equals","Mobiliers & Accessoires"
"Outings & Travel","Sortie & Déplacement","sortie-deplacement","false","vendor","equals","Sortie & déplacement" 
